edges,s1,s2,s3,s4,s5
3000,0.001742,0.001879,0.001808,0.001756,0
52650,0.010206,0.010769,0.008462,0.008972,0.008445
102300,0.017851,0.015523,0.014133,0.014705,0.01709
151950,0.022554,0.019561,0.022906,0.020906,0.020229
201600,0.025631,0.029521,0.026812,0.028405,0.035258
251250,0.036155,0.033488,0.035176,0.03822,0.034761
300900,0.041487,0.039653,0.045458,0.037775,0.041037
350550,0.050399,0.050074,0.044494,0.0466,0.051071
400200,0.050797,0.05137,0.052995,0.049895,0.041322
449850,0.06293,0.061247,0.059172,0.060893,0.065737
499500,0.071316,0.070587,0.059971,0.07296,0.07367
