edges,s1,s2,s3,s4,s5
3000,0.001996,0.002045,0.001953,0.001953,0.002047
52650,0.007715,0.008012,0.009816,0.009068,0.008514
102300,0.018363,0.017024,0.021329,0.0223,0.015318
151950,0.021981,0.022958,0.025808,0.025025,0.02429
201600,0.035063,0.036484,0.038435,0.036313,0.034763
251250,0.049219,0.049826,0.051083,0.051921,0.050881
300900,0.066713,0.074015,0.06702,0.076932,0.06449
350550,0.08066,0.079313,0.081565,0.077679,0.082341
400200,0.089541,0.091645,0.091297,0.091542,0.099715
449850,0.10564,0.122751,0.106004,0.110958,0.125258
499500,0.12904,0.122022,0.123323,0.122656,0.121092
