edges,s1,s2,s3,s4,s5
3000,63347,63070,62992,62786,63088
52650,1516233,1516539,1516987,1516328,1517084
102300,3138490,3139127,3139176,3139742,3139327
151950,4829331,4830159,4830286,4831044,4829299
201600,6577068,6576563,6577637,6577441,6577050
251250,8341769,8343553,8343510,8344401,8344111
300900,10151144,10151330,10152614,10154071,10151968
350550,11989398,11989531,11988896,11991941,11990621
400200,13841148,13842541,13841560,13846046,13841444
449850,15700596,15702563,15703300,15705758,15702072
499500,17567585,17568306,17568965,17570676,17569977
