edges,s1,s2,s3,s4,s5
3000,0.003219,0.002962,0.003317,0.003092,0.00322
52650,0.074891,0.069902,0.080883,0.074262,0.071255
102300,0.159418,0.161645,0.174305,0.159745,0.169815
151950,0.286021,0.349104,0.417336,0.320677,0.326477
201600,0.450623,0.446642,0.452465,0.453062,0.450143
251250,0.602605,0.595643,0.64604,0.595243,0.612731
300900,0.793239,0.753474,0.78314,0.766235,0.741811
350550,0.949103,0.932039,0.930275,1.13891,1.02848
400200,1.18359,1.1938,1.22523,1.22473,1.55109
449850,2.28554,1.4845,1.38884,1.32336,1.43639
499500,1.55796,1.60135,1.66921,1.48411,1.48731
