edges,s1,s2,s3,s4,s5
30000,619349,614192,618941,616130,616205
5026500,12361765,11451857,11931184,11638299,11794772
10023000,20844669,20843721,21648092,20761745,20819550
15019500,30300621,31138142,30242138,30465348,30225191
20016000,39776044,39746693,39678890,39826642,40012338
25012500,49679183,49706919,49624158,49622076,49496094
30009000,59255920,58893451,59525761,58558598,58967004
35005500,68947057,68644974,68264707,68273606,68017881
40002000,77700544,78477899,77318467,77364740,77329132
44998500,86836688,87262152,86756733,86959292,86967193
49995000,96404543,96387817,96407005,96359584,96214776
