edges,s1,s2,s3,s4,s5
30000,1465789,1464992,1464775,1462993,1469146
5026500,11504822,11509345,11512068,11509917,11513315
10023000,21493720,21486990,21483187,21495962,21492331
15019500,31475340,31472653,31477462,31469134,31474972
20016000,41448564,41455914,41454280,41442467,41455269
25012500,51434018,51449520,51441509,51431595,51450661
30009000,61410567,61410770,61412890,61404905,61409977
35005500,71404739,71400625,71403851,71392133,71398803
40002000,81410846,81407695,81405177,81400065,81407635
44998500,91398612,91402521,91396976,91398809,91399333
49995000,101377449,101377003,101368383
